Seed,Match outcome,Winner,Loser,Winner score,Loser score,Game points,Deck closed,Closer,Closure points,BullyBot marriages,BullyBot trump exchanges,BullyBot won after closing,Trumps when closing,Non-trumps when closing,Tricks won after closing,BullyBot RNG Seed,RandBot RNG Seed
0,RandBot beat BullyBot,RandBot,BullyBot,64,56,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30000,20000
1,RandBot beat BullyBot,RandBot,BullyBot,58,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30001,20001
2,RandBot beat BullyBot,RandBot,BullyBot,68,52,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30002,20002
3,RandBot beat BullyBot,RandBot,BullyBot,59,61,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30003,20003
4,RandBot beat BullyBot,RandBot,BullyBot,66,55,2,True,RandBot,26,0,0,False,N/A,N/A,N/A,30004,20004
5,BullyBot beat RandBot,BullyBot,RandBot,35,26,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30005,20005
6,BullyBot beat RandBot,BullyBot,RandBot,66,35,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30006,20006
7,RandBot beat BullyBot,RandBot,BullyBot,73,0,3,True,RandBot,19,0,0,False,N/A,N/A,N/A,30007,20007
8,RandBot beat BullyBot,RandBot,BullyBot,68,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30008,20008
9,RandBot beat BullyBot,RandBot,BullyBot,58,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30009,20009
10,BullyBot beat RandBot,BullyBot,RandBot,67,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30010,20010
11,BullyBot beat RandBot,BullyBot,RandBot,68,18,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30011,20011
12,RandBot beat BullyBot,RandBot,BullyBot,78,12,2,True,RandBot,49,0,0,False,N/A,N/A,N/A,30012,20012
13,BullyBot beat RandBot,BullyBot,RandBot,53,0,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30013,20013
14,BullyBot beat RandBot,BullyBot,RandBot,68,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30014,20014
15,BullyBot beat RandBot,BullyBot,RandBot,77,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30015,20015
16,BullyBot beat RandBot,BullyBot,RandBot,77,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30016,20016
17,BullyBot beat RandBot,BullyBot,RandBot,68,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30017,20017
18,RandBot beat BullyBot,RandBot,BullyBot,63,57,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30018,20018
19,BullyBot beat RandBot,BullyBot,RandBot,69,26,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30019,20019
20,RandBot beat BullyBot,RandBot,BullyBot,66,42,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30020,20020
21,BullyBot beat RandBot,BullyBot,RandBot,68,25,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30021,20021
22,RandBot beat BullyBot,RandBot,BullyBot,66,54,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30022,20022
23,RandBot beat BullyBot,RandBot,BullyBot,60,60,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30023,20023
24,BullyBot beat RandBot,BullyBot,RandBot,66,12,2,True,RandBot,12,0,0,False,N/A,N/A,N/A,30024,20024
25,BullyBot beat RandBot,BullyBot,RandBot,68,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30025,20025
26,RandBot beat BullyBot,RandBot,BullyBot,59,61,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30026,20026
27,RandBot beat BullyBot,RandBot,BullyBot,74,15,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30027,20027
28,BullyBot beat RandBot,BullyBot,RandBot,80,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30028,20028
29,BullyBot beat RandBot,BullyBot,RandBot,68,32,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30029,20029
30,RandBot beat BullyBot,RandBot,BullyBot,57,63,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30030,20030
31,RandBot beat BullyBot,RandBot,BullyBot,58,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30031,20031
32,RandBot beat BullyBot,RandBot,BullyBot,67,46,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30032,20032
33,RandBot beat BullyBot,RandBot,BullyBot,12,50,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30033,20033
34,RandBot beat BullyBot,RandBot,BullyBot,66,41,1,True,RandBot,15,0,0,False,N/A,N/A,N/A,30034,20034
35,BullyBot beat RandBot,BullyBot,RandBot,68,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30035,20035
36,BullyBot beat RandBot,BullyBot,RandBot,66,49,2,True,RandBot,13,0,0,False,N/A,N/A,N/A,30036,20036
37,BullyBot beat RandBot,BullyBot,RandBot,73,29,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30037,20037
38,BullyBot beat RandBot,BullyBot,RandBot,71,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30038,20038
39,BullyBot beat RandBot,BullyBot,RandBot,50,45,3,True,RandBot,12,0,0,False,N/A,N/A,N/A,30039,20039
40,BullyBot beat RandBot,BullyBot,RandBot,71,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30040,20040
41,RandBot beat BullyBot,RandBot,BullyBot,35,25,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30041,20041
42,RandBot beat BullyBot,RandBot,BullyBot,68,40,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30042,20042
43,BullyBot beat RandBot,BullyBot,RandBot,66,22,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30043,20043
44,RandBot beat BullyBot,RandBot,BullyBot,75,0,3,True,RandBot,55,0,0,False,N/A,N/A,N/A,30044,20044
45,RandBot beat BullyBot,RandBot,BullyBot,51,36,2,True,RandBot,13,0,0,False,N/A,N/A,N/A,30045,20045
46,RandBot beat BullyBot,RandBot,BullyBot,58,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30046,20046
47,RandBot beat BullyBot,RandBot,BullyBot,38,13,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30047,20047
48,BullyBot beat RandBot,BullyBot,RandBot,66,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30048,20048
49,BullyBot beat RandBot,BullyBot,RandBot,68,14,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30049,20049
50,RandBot beat BullyBot,RandBot,BullyBot,66,54,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30050,20050
51,BullyBot beat RandBot,BullyBot,RandBot,71,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30051,20051
52,BullyBot beat RandBot,BullyBot,RandBot,71,35,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30052,20052
53,BullyBot beat RandBot,BullyBot,RandBot,66,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30053,20053
54,BullyBot beat RandBot,BullyBot,RandBot,68,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30054,20054
55,BullyBot beat RandBot,BullyBot,RandBot,6,60,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,30055,20055
56,RandBot beat BullyBot,RandBot,BullyBot,66,41,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30056,20056
57,RandBot beat BullyBot,RandBot,BullyBot,66,54,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30057,20057
58,BullyBot beat RandBot,BullyBot,RandBot,66,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30058,20058
59,BullyBot beat RandBot,BullyBot,RandBot,74,26,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30059,20059
60,RandBot beat BullyBot,RandBot,BullyBot,56,64,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30060,20060
61,RandBot beat BullyBot,RandBot,BullyBot,41,55,3,True,RandBot,34,0,0,False,N/A,N/A,N/A,30061,20061
62,RandBot beat BullyBot,RandBot,BullyBot,55,65,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30062,20062
63,BullyBot beat RandBot,BullyBot,RandBot,55,65,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30063,20063
64,BullyBot beat RandBot,BullyBot,RandBot,66,28,2,True,RandBot,22,0,0,False,N/A,N/A,N/A,30064,20064
65,RandBot beat BullyBot,RandBot,BullyBot,67,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,30065,20065
66,BullyBot beat RandBot,BullyBot,RandBot,78,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30066,20066
67,BullyBot beat RandBot,BullyBot,RandBot,66,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30067,20067
68,BullyBot beat RandBot,BullyBot,RandBot,37,55,3,True,RandBot,41,0,0,False,N/A,N/A,N/A,30068,20068
69,BullyBot beat RandBot,BullyBot,RandBot,69,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30069,20069
70,RandBot beat BullyBot,RandBot,BullyBot,66,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30070,20070
71,BullyBot beat RandBot,BullyBot,RandBot,82,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30071,20071
72,BullyBot beat RandBot,BullyBot,RandBot,72,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30072,20072
73,RandBot beat BullyBot,RandBot,BullyBot,67,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30073,20073
74,RandBot beat BullyBot,RandBot,BullyBot,72,35,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30074,20074
75,RandBot beat BullyBot,RandBot,BullyBot,60,60,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30075,20075
76,BullyBot beat RandBot,BullyBot,RandBot,68,20,2,True,RandBot,20,0,0,False,N/A,N/A,N/A,30076,20076
77,BullyBot beat RandBot,BullyBot,RandBot,76,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30077,20077
78,BullyBot beat RandBot,BullyBot,RandBot,0,0,3,True,RandBot,21,0,0,False,N/A,N/A,N/A,30078,20078
79,RandBot beat BullyBot,RandBot,BullyBot,61,59,1,False,None,N/A,0,0,False,N/A,N/A,N/A,30079,20079
80,BullyBot beat RandBot,BullyBot,RandBot,69,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,30080,20080
