Seed,Match outcome,Winner,Loser,Winner score,Loser score,Game points,Deck closed,Closer,Closure points,CockyBot marriages,CockyBot trump exchanges,CockyBot won after closing,Trumps when closing,Non-trumps when closing,Tricks won after closing,RandBot RNG Seed
0,RandBot beat CockyBot,RandBot,CockyBot,60,48,3,True,CockyBot,48,1,1,False,['Card.QUEEN_SPADES'],"['Card.QUEEN_DIAMONDS', 'Card.JACK_HEARTS', 'Card.TEN_HEARTS', 'Card.JACK_CLUBS']",0,20000
1,RandBot beat CockyBot,RandBot,CockyBot,5,51,3,True,CockyBot,13,0,0,False,['Card.QUEEN_HEARTS'],"['Card.JACK_CLUBS', 'Card.ACE_DIAMONDS', 'Card.QUEEN_CLUBS', 'Card.JACK_SPADES']",4,20001
2,CockyBot beat RandBot,CockyBot,RandBot,66,15,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20002
3,CockyBot beat RandBot,CockyBot,RandBot,60,31,2,True,CockyBot,14,0,0,True,['Card.ACE_CLUBS'],"['Card.QUEEN_DIAMONDS', 'Card.KING_SPADES', 'Card.QUEEN_HEARTS', 'Card.ACE_SPADES']",4,20003
4,CockyBot beat RandBot,CockyBot,RandBot,77,57,1,False,None,N/A,1,1,False,N/A,N/A,N/A,20004
5,CockyBot beat RandBot,CockyBot,RandBot,35,26,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20005
6,CockyBot beat RandBot,CockyBot,RandBot,69,6,2,True,CockyBot,22,0,0,True,['Card.ACE_DIAMONDS'],"['Card.ACE_HEARTS', 'Card.TEN_SPADES', 'Card.KING_CLUBS', 'Card.JACK_HEARTS']",3,20006
7,RandBot beat CockyBot,RandBot,CockyBot,59,41,2,True,CockyBot,27,0,0,False,['Card.TEN_SPADES'],"['Card.QUEEN_CLUBS', 'Card.TEN_HEARTS', 'Card.JACK_CLUBS', 'Card.QUEEN_DIAMONDS']",1,20007
8,CockyBot beat RandBot,CockyBot,RandBot,74,0,3,True,CockyBot,12,0,1,True,"['Card.ACE_CLUBS', 'Card.KING_CLUBS']","['Card.ACE_DIAMONDS', 'Card.TEN_HEARTS', 'Card.QUEEN_HEARTS']",4,20008
9,RandBot beat CockyBot,RandBot,CockyBot,70,27,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20009
10,CockyBot beat RandBot,CockyBot,RandBot,76,12,2,True,CockyBot,14,1,0,True,"['Card.ACE_DIAMONDS', 'Card.QUEEN_DIAMONDS', 'Card.KING_DIAMONDS']","['Card.ACE_CLUBS', 'Card.ACE_HEARTS']",2,20010
11,RandBot beat CockyBot,RandBot,CockyBot,27,36,3,True,CockyBot,21,0,0,False,['Card.JACK_SPADES'],"['Card.JACK_DIAMONDS', 'Card.JACK_HEARTS', 'Card.QUEEN_HEARTS', 'Card.ACE_CLUBS']",1,20011
12,CockyBot beat RandBot,CockyBot,RandBot,72,36,2,True,RandBot,22,2,0,False,N/A,N/A,N/A,20012
13,CockyBot beat RandBot,CockyBot,RandBot,53,0,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20013
14,RandBot beat CockyBot,RandBot,CockyBot,19,53,2,True,CockyBot,15,0,0,False,['Card.QUEEN_HEARTS'],"['Card.JACK_DIAMONDS', 'Card.ACE_DIAMONDS', 'Card.TEN_SPADES', 'Card.JACK_SPADES']",4,20014
15,CockyBot beat RandBot,CockyBot,RandBot,70,0,3,True,CockyBot,14,0,0,True,['Card.ACE_CLUBS'],"['Card.ACE_HEARTS', 'Card.TEN_SPADES', 'Card.KING_HEARTS', 'Card.JACK_SPADES']",4,20015
16,CockyBot beat RandBot,CockyBot,RandBot,68,0,3,True,CockyBot,13,0,0,True,"['Card.KING_SPADES', 'Card.ACE_SPADES', 'Card.JACK_SPADES']","['Card.QUEEN_HEARTS', 'Card.KING_DIAMONDS']",5,20016
17,CockyBot beat RandBot,CockyBot,RandBot,57,28,3,True,CockyBot,17,0,0,True,['Card.ACE_DIAMONDS'],"['Card.QUEEN_CLUBS', 'Card.ACE_SPADES', 'Card.ACE_HEARTS', 'Card.TEN_CLUBS']",3,20017
18,CockyBot beat RandBot,CockyBot,RandBot,60,21,3,True,CockyBot,13,0,0,True,"['Card.TEN_CLUBS', 'Card.QUEEN_CLUBS']","['Card.ACE_DIAMONDS', 'Card.ACE_HEARTS', 'Card.QUEEN_DIAMONDS']",4,20018
19,CockyBot beat RandBot,CockyBot,RandBot,81,18,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20019
20,CockyBot beat RandBot,CockyBot,RandBot,68,25,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20020
21,RandBot beat CockyBot,RandBot,CockyBot,41,46,3,True,CockyBot,14,1,0,False,['Card.TEN_CLUBS'],"['Card.QUEEN_HEARTS', 'Card.QUEEN_DIAMONDS', 'Card.JACK_HEARTS', 'Card.KING_HEARTS']",1,20021
22,RandBot beat CockyBot,RandBot,CockyBot,68,60,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20022
23,RandBot beat CockyBot,RandBot,CockyBot,54,45,2,True,CockyBot,21,1,0,False,['Card.JACK_CLUBS'],"['Card.QUEEN_SPADES', 'Card.QUEEN_DIAMONDS', 'Card.KING_DIAMONDS', 'Card.TEN_DIAMONDS']",1,20023
24,CockyBot beat RandBot,CockyBot,RandBot,87,0,3,True,CockyBot,19,0,0,True,"['Card.QUEEN_SPADES', 'Card.ACE_SPADES', 'Card.JACK_SPADES']","['Card.ACE_CLUBS', 'Card.ACE_HEARTS']",5,20024
25,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,True,CockyBot,12,0,0,True,"['Card.QUEEN_SPADES', 'Card.ACE_SPADES']","['Card.TEN_HEARTS', 'Card.KING_CLUBS', 'Card.QUEEN_HEARTS']",5,20025
26,RandBot beat CockyBot,RandBot,CockyBot,52,32,3,True,CockyBot,27,1,1,False,"['Card.TEN_CLUBS', 'Card.QUEEN_CLUBS']","['Card.JACK_DIAMONDS', 'Card.QUEEN_DIAMONDS', 'Card.JACK_SPADES']",1,20026
27,RandBot beat CockyBot,RandBot,CockyBot,73,15,3,True,RandBot,0,1,0,False,N/A,N/A,N/A,20027
28,CockyBot beat RandBot,CockyBot,RandBot,74,0,3,True,CockyBot,13,0,1,True,"['Card.QUEEN_HEARTS', 'Card.TEN_HEARTS']","['Card.ACE_CLUBS', 'Card.ACE_SPADES', 'Card.ACE_DIAMONDS']",4,20028
29,RandBot beat CockyBot,RandBot,CockyBot,31,42,3,True,CockyBot,21,0,0,False,['Card.QUEEN_DIAMONDS'],"['Card.ACE_SPADES', 'Card.KING_CLUBS', 'Card.JACK_SPADES', 'Card.JACK_HEARTS']",1,20029
30,CockyBot beat RandBot,CockyBot,RandBot,82,14,2,True,CockyBot,13,0,1,True,"['Card.KING_DIAMONDS', 'Card.ACE_DIAMONDS']","['Card.TEN_HEARTS', 'Card.ACE_HEARTS', 'Card.KING_HEARTS']",4,20030
31,CockyBot beat RandBot,CockyBot,RandBot,77,0,3,True,CockyBot,14,0,0,True,['Card.KING_HEARTS'],"['Card.ACE_CLUBS', 'Card.TEN_SPADES', 'Card.ACE_SPADES', 'Card.TEN_CLUBS']",4,20031
32,RandBot beat CockyBot,RandBot,CockyBot,54,31,3,True,CockyBot,18,0,0,False,['Card.QUEEN_HEARTS'],"['Card.ACE_DIAMONDS', 'Card.TEN_DIAMONDS', 'Card.TEN_CLUBS', 'Card.QUEEN_SPADES']",1,20032
33,RandBot beat CockyBot,RandBot,CockyBot,12,50,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20033
34,RandBot beat CockyBot,RandBot,CockyBot,38,55,3,True,CockyBot,20,0,0,False,['Card.ACE_DIAMONDS'],"['Card.TEN_CLUBS', 'Card.ACE_CLUBS', 'Card.TEN_SPADES', 'Card.JACK_CLUBS']",2,20034
35,RandBot beat CockyBot,RandBot,CockyBot,65,21,3,True,CockyBot,14,0,0,False,['Card.QUEEN_DIAMONDS'],"['Card.KING_CLUBS', 'Card.JACK_CLUBS', 'Card.TEN_CLUBS', 'Card.JACK_HEARTS']",1,20035
36,RandBot beat CockyBot,RandBot,CockyBot,60,33,3,True,CockyBot,26,1,0,False,"['Card.KING_SPADES', 'Card.TEN_SPADES']","['Card.QUEEN_DIAMONDS', 'Card.QUEEN_CLUBS', 'Card.TEN_HEARTS']",1,20036
37,RandBot beat CockyBot,RandBot,CockyBot,39,39,3,True,CockyBot,21,0,0,False,"['Card.TEN_DIAMONDS', 'Card.JACK_DIAMONDS']","['Card.TEN_HEARTS', 'Card.QUEEN_CLUBS', 'Card.JACK_SPADES']",2,20037
38,CockyBot beat RandBot,CockyBot,RandBot,77,0,3,True,CockyBot,13,0,1,True,"['Card.ACE_SPADES', 'Card.KING_SPADES', 'Card.TEN_SPADES']","['Card.QUEEN_CLUBS', 'Card.ACE_CLUBS']",4,20038
39,RandBot beat CockyBot,RandBot,CockyBot,31,49,2,True,RandBot,4,0,0,False,N/A,N/A,N/A,20039
40,RandBot beat CockyBot,RandBot,CockyBot,58,8,3,True,RandBot,13,0,0,False,N/A,N/A,N/A,20040
41,CockyBot beat RandBot,CockyBot,RandBot,39,21,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20041
42,CockyBot beat RandBot,CockyBot,RandBot,66,14,3,True,CockyBot,11,0,0,True,['Card.QUEEN_HEARTS'],"['Card.ACE_DIAMONDS', 'Card.ACE_SPADES', 'Card.ACE_CLUBS', 'Card.KING_DIAMONDS']",3,20042
43,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,True,CockyBot,12,0,0,True,"['Card.KING_HEARTS', 'Card.TEN_HEARTS']","['Card.TEN_SPADES', 'Card.TEN_DIAMONDS', 'Card.KING_CLUBS']",4,20043
44,CockyBot beat RandBot,CockyBot,RandBot,68,26,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20044
45,CockyBot beat RandBot,CockyBot,RandBot,68,0,3,True,CockyBot,13,0,0,True,"['Card.ACE_CLUBS', 'Card.KING_CLUBS']","['Card.TEN_HEARTS', 'Card.ACE_SPADES', 'Card.KING_SPADES']",5,20045
46,CockyBot beat RandBot,CockyBot,RandBot,77,0,3,True,CockyBot,18,0,0,True,['Card.TEN_HEARTS'],"['Card.TEN_SPADES', 'Card.ACE_SPADES', 'Card.QUEEN_SPADES', 'Card.TEN_DIAMONDS']",4,20046
47,RandBot beat CockyBot,RandBot,CockyBot,38,13,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20047
48,CockyBot beat RandBot,CockyBot,RandBot,65,21,3,True,CockyBot,19,0,0,True,"['Card.TEN_DIAMONDS', 'Card.QUEEN_DIAMONDS', 'Card.JACK_DIAMONDS']","['Card.TEN_CLUBS', 'Card.ACE_SPADES']",4,20048
49,RandBot beat CockyBot,RandBot,CockyBot,26,61,2,True,CockyBot,13,0,0,False,"['Card.QUEEN_HEARTS', 'Card.JACK_HEARTS']","['Card.QUEEN_CLUBS', 'Card.ACE_DIAMONDS', 'Card.KING_DIAMONDS']",4,20049
50,RandBot beat CockyBot,RandBot,CockyBot,75,46,3,True,CockyBot,46,1,0,False,['Card.QUEEN_DIAMONDS'],"['Card.ACE_CLUBS', 'Card.QUEEN_CLUBS', 'Card.JACK_HEARTS', 'Card.TEN_SPADES']",0,20050
51,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,True,CockyBot,15,0,0,True,['Card.QUEEN_CLUBS'],"['Card.JACK_SPADES', 'Card.ACE_SPADES', 'Card.TEN_DIAMONDS', 'Card.KING_SPADES']",5,20051
52,CockyBot beat RandBot,CockyBot,RandBot,71,12,2,True,CockyBot,14,0,1,True,"['Card.ACE_CLUBS', 'Card.TEN_CLUBS']","['Card.ACE_DIAMONDS', 'Card.KING_SPADES', 'Card.KING_HEARTS']",3,20052
53,CockyBot beat RandBot,CockyBot,RandBot,71,0,3,True,CockyBot,32,0,0,True,['Card.KING_DIAMONDS'],"['Card.TEN_SPADES', 'Card.KING_HEARTS', 'Card.KING_CLUBS', 'Card.TEN_CLUBS']",3,20053
54,RandBot beat CockyBot,RandBot,CockyBot,28,64,2,True,CockyBot,18,0,1,False,"['Card.KING_HEARTS', 'Card.ACE_HEARTS']","['Card.ACE_DIAMONDS', 'Card.KING_CLUBS', 'Card.TEN_DIAMONDS']",4,20054
55,CockyBot beat RandBot,CockyBot,RandBot,26,40,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20055
