Seed,Match outcome,Winner,Loser,Winner score,Loser score,Game points,Deck closed,Closer,Closure points,RDeepBot marriages,RDeepBot trump exchanges,RDeepBot won after closing,Trumps when closing,Non-trumps when closing,Tricks won after closing,RDeepBot Num Samples,RDeepBot Depth,RDeepBot RNG Seed,RandBot RNG Seed
0,RDeepBot beat RandBot,RDeepBot,RandBot,69,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,12,5,40000,20000
1,RDeepBot beat RandBot,RDeepBot,RandBot,69,0,3,True,RDeepBot,28,0,1,True,['Card.ACE_HEARTS'],"['Card.JACK_CLUBS', 'Card.QUEEN_CLUBS', 'Card.JACK_SPADES', 'Card.ACE_SPADES']",3,12,5,40001,20001
2,RDeepBot beat RandBot,RDeepBot,RandBot,67,15,2,False,None,N/A,0,0,False,N/A,N/A,N/A,12,5,40002,20002
3,RDeepBot beat RandBot,RDeepBot,RandBot,72,19,2,True,RDeepBot,14,0,0,True,"['Card.JACK_CLUBS', 'Card.ACE_CLUBS']","['Card.KING_SPADES', 'Card.JACK_SPADES', 'Card.ACE_SPADES']",5,12,5,40003,20003
4,RDeepBot beat RandBot,RDeepBot,RandBot,77,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,12,5,40004,20004
5,RDeepBot beat RandBot,RDeepBot,RandBot,33,28,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,12,5,40005,20005
6,RDeepBot beat RandBot,RDeepBot,RandBot,70,7,2,False,None,N/A,1,0,False,N/A,N/A,N/A,12,5,40006,20006
7,RandBot beat RDeepBot,RandBot,RDeepBot,64,56,1,False,None,N/A,0,0,False,N/A,N/A,N/A,12,5,40007,20007
8,RDeepBot beat RandBot,RDeepBot,RandBot,81,28,2,False,None,N/A,1,1,False,N/A,N/A,N/A,12,5,40008,20008
9,RDeepBot beat RandBot,RDeepBot,RandBot,74,22,2,False,None,N/A,0,0,False,N/A,N/A,N/A,12,5,40009,20009
10,RDeepBot beat RandBot,RDeepBot,RandBot,69,5,2,True,RandBot,5,0,0,False,N/A,N/A,N/A,12,5,40010,20010
11,RDeepBot beat RandBot,RDeepBot,RandBot,68,0,3,False,None,N/A,0,1,False,N/A,N/A,N/A,12,5,40011,20011
12,RDeepBot beat RandBot,RDeepBot,RandBot,67,21,2,True,RandBot,21,1,0,False,N/A,N/A,N/A,12,5,40012,20012
13,RDeepBot beat RandBot,RDeepBot,RandBot,53,0,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,12,5,40013,20013
14,RDeepBot beat RandBot,RDeepBot,RandBot,69,19,2,False,None,N/A,0,0,False,N/A,N/A,N/A,12,5,40014,20014
